author	comment	vote
hama2333	这个演员阵容简直闻所未闻，但我看了看导演的生平电影评分，突然一股难以言表的担心涌上心头.......	807
🍃	感觉这个导演可能是这部片里最大的变数。。。	777
幽若/ty	这个阵容和故事很期待。这个导演看着好怕怕	664
魔法使之夜	演员问题不大，但李仁港大导演实在是emmmm，我倒是很想知道李导在这种题材下如何再乱入飞碟帽	291
蘑菇君	配置简直不要太高，期待井柏然与前辈们的合作	476
少年龙侠	超级期待吴京和成龙大哥的合作	360
Skips	李仁港可别把它搞砸了啊，多好的题材。	308
糯米叶	看了一下那个导演历年作品我好慌啊出了名的喜欢胡编历史，希望他能老老实实还原小学语文课本里那篇课文的全部内容😒	279
Domini	🌚🌚🌚看了下导演的作品有点担心……	234
佳片预定人	李仁港…不管了，冲着吴京也要去看	213
Andy	李，李，李仁港来拍？？？	181
哦都开。。	说句实话流浪地球我看的睡着了，战狼2我觉得还是湄公河行动好看，对于吴京电影我也不是很期待	164
朱恒昌	导演看起来不行啊，作品大都不及格	132
Sunny	怎么说呢，其实按照登山历史来讲，贡嘎山和冈仁波齐，在中国登山史上有着很浓厚的色彩，因为这两座山难度远大于珠峰，一座死亡率奇高，一座因为山形太过立体，难以攀登，尤其是贡嘎山 57年中华全国总工会登山队在登顶后，下山途中不幸4人遇难，连岛国日本人在经历三次，付出多少生命，才成功登顶，所以，题材遍地都是，就看怎么拍，要么骂死，要么神作	106
小米=qdmimi	虽然感觉就是压上一百个小目标也救不了李导，但这个阵容还是把人好吓	116
Tirry	成龙和吴京在同一部电影中！
心急！	105
精神分裂症患者	当年毛主席他老人家亲自接见了珠峰的攀登者	105
nkxy	群星璀璨，期待。	80
听雨观枫	期待胡歌	73
CHn	京哥一定要保重身体啊。	38
蹦擦擦	演员和编剧都不错，导演什么玩意儿？非常期待被打脸。	39
幻天空蓝	集合了近三年票房得主冠军的阵容，井柏然的《捉妖记》是2015年票房冠军，吴京的《战狼2》是2017年票房冠军，张译的《红海行动》是2018年票房冠军	41
2112	红星红旗和毛主席半身像，一个都不能少	42
Rui	《我和我的祖国》票房不可能超过《攀登者》，最主要的要从电影结构的方面分析，一个片子，七个剧情，并且各个剧情之间没有关联，那你是要选择线性叙事还是交叉叙事，如果是线性叙事，那很大程度上会让观众有疲劳感、主次难以分明，如果是交叉叙事，容易让观众在快速的空间转换中逻辑混乱，容易跟不上导演的节奏，毕竟七个剧情七个故事，信息量实在是太大了。
反观《攀登者》，国内一线演员卡司、主角吴京自带30亿票房流量，就是《攀登者》自己想输给《我和我的祖国》都很难，起码你得先让观众答应吧？《攀登者》预估国庆档票房冠军，票房40+亿，坐等打脸。	32
天井上	不知道这么多演员奶的动导演吗	22
橡树籽重生	这个导演最近几年拍的片子评分都不是很高，最高的追溯到九几年了。跟他合作的演员大牌也不少，成龙什么的。最近最差的是那个盗墓笔记。这次大牌明星也不少，想把片子拍好，国庆档播放，只能是要有个扎实的剧本了！如果剧本过关，没有硬伤，七十分保底应该没问题！	19
書衣偵探華斯比	国庆节，吴京又来了！	24
蒙太奇	大喊一声雪花勇闯天涯	14
ourmfzh	在主力队员登顶之前，为保证他们不致体力过早消耗，登山队先组织了先遣队，建立起大本营及位于5400米、5900米和6400米的三个高山营地，队员们把几千公斤的高山装备、食品和燃料等先行运到这些营地。到了4月25日，登山队又在7007米和8500米建立四号营地和突击营地。	13
davetong	画像+2分，题材+2分，吴京-1分。看完再改	12
iCer	历史背景本身几乎是一段传奇,看导演和演员们如何演绎吧	16
L.John	加油，希望是好片	14
污首阁下	不知道怎么样，李仁港近几年导演的电影，票房还行，但是口碑真的一般，但愿这部有改观吧。	9
一叶之秋	有人说你不适合大荧幕说你能有两部高分视剧就算撞了大运了，可这么多年的喜欢让我相信你是可以的，跟着攀登者去攀登人心成见这座大山吧	12
ENnono	这个导演……，有点害怕啊	10
靳爽	这部应该不错	12
