author	comment	vote	情感评分
Rui	《我和我的祖国》票房不可能超过《攀登者》，最主要的要从电影结构的方面分析，一个片子，七个剧情，并且各个剧情之间没有关联，那你是要选择线性叙事还是交叉叙事，如果是线性叙事，那很大程度上会让观众有疲劳感、主次难以分明，如果是交叉叙事，容易让观众在快速的空间转换中逻辑混乱，容易跟不上导演的节奏，毕竟七个剧情七个故事，信息量实在是太大了。		0.9999999999857518
郫县豆瓣	想看。但是没怎么搞懂，很多现代军事题材的剧不能用原型本名，怎么这部反映体育精神，想让更多人记住北坡首登珠峰英雄名字的片子，还是要用化名呢，用英雄们的本名不是更有代入感，更体现了让人们记者这些曾经默默无闻的英雄嘛。	5.0	0.99999999994218
幻天空蓝	集合了近三年票房得主冠军的阵容，井柏然的《捉妖记》是2015年票房冠军，吴京的《战狼2》是2017年票房冠军，张译的《红海行动》是2018年票房冠军	41.0	0.999999999168911
麦克斯之眼	作为国庆档主打，同时也是一部优秀的记录型电影，也是反映那年代人优秀品质的电影，也是一众实力派演员的表演，这个阵容让我没理由的支持。同时也希望有越来越多这种反映中国精神的电影出现在大银幕，中国梦加油！	0.0	0.9999999989670147
梅婆小公举	一个前人从未涉及的领域，吴京挑剧本的眼光值得信赖，还有诸多实力演员加盟，超期待	5.0	0.9999999949465166
叶倪杉～	自从看了《战狼2》，《流浪地球》，我对只要是吴京的电影都想去支持一下，听说吴京有部新电影《一百零八》，看了下梗概，吴京真会选！	1.0	0.9999999853813231
身为一个JM	《战狼二》对吴京真没啥过多好感，路人顶多，但是《流浪地球》让我对吴京路转粉，吴京真的很棒，是一个好演员，这次的《攀登者》一定会支持，因为里面也有胡歌，希望吴京继续加油，我们相信你，多拍些关于中国强大的电影。	2.0	0.9999999753308203
身为一个JM	《战狼二》对吴京真没啥过多好感，路人顶多，但是《流浪地球》让我对吴京路转粉，吴京真的很棒，是一个好演员，这次的《攀登者》一定会支持，因为里面也有胡歌，希望吴京继续加油，我们相信你，多拍些关于中国强大的电影。	2.0	0.9999999753308203
Steve Jobs	期待两条爱情线能够给我们革命爱情的感觉，也期待国内能拍出勇登珠峰的刺激感。永远支持吴京大哥和章子怡姐姐	0.0	0.9999999616543617
魔物猎人kana酱	当刘培强中校历尽千辛万苦，要在顶峰留下中国????人的第一个脚印时，却发现王石王总穿着登山装，已经等他很久了——“在顶峰之上，还有更广阔的世界！人类啊！跟我来！”	7.0	0.9999999438880036
橡树籽重生	这个导演最近几年拍的片子评分都不是很高，最高的追溯到九几年了。跟他合作的演员大牌也不少，成龙什么的。最近最差的是那个盗墓笔记。这次大牌明星也不少，想把片子拍好，国庆档播放，只能是要有个扎实的剧本了！如果剧本过关，没有硬伤，七十分保底应该没问题！	19.0	0.9999999373826217
城北徐公	前没有《战狼》爱国口碑营销，后没有《流浪地球》的硬核科幻实力，很可能达不到观众预期，高开低走，期望越高，失望越大。希望这是吴京又一力作，别扑gai。	1.0	0.999999835129257
Pigleaf	70周年献礼电影有点多啊……《决胜时刻》《我和我的祖国》《中国机长》《攀登者》，阵容都是空前强大，前几天看了《我和我的祖国》预告片，希望正片能像预告一样让人泪目	0.0	0.9999998120364659
放逐江湖	“为国登顶，寸土不让！”我希望每个人都去了解一下这部电影背后的故事，作为中国人，我会怀着骄傲敬畏之心去观看，这是一部电影，这也不只是一部电影。	0.0	0.9999997887608725
放逐江湖	“为国登顶，寸土不让！”我希望每个人都去了解一下这部电影背后的故事，作为中国人，我会怀着骄傲敬畏之心去观看，这是一部电影，这也不只是一部电影。	0.0	0.9999997887608725
罗里吧嗦	期待吴京新电影，期待每位演员的精彩奉献。为中国电影喝彩，让中国信念飘扬在珠峰之巅~	0.0	0.9999995354990222
Sunny	怎么说呢，其实按照登山历史来讲，贡嘎山和冈仁波齐，在中国登山史上有着很浓厚的色彩，因为这两座山难度远大于珠峰，一座死亡率奇高，一座因为山形太过立体，难以攀登，尤其是贡嘎山 57年中华全国总工会登山队在登顶后，下山途中不幸4人遇难，连岛国日本人在经历三次，付出多少生命，才成功登顶，所以，题材遍地都是，就看怎么拍，要么骂死，要么神作	106.0	0.9999990774146771
ellen	奇怪的人员组合，演员配置里面，喜欢的演员只有吴京、苗苗，其余的都不怎么喜欢，演员名气大不一定是好事啊，对应负面也多，还不如选有演技的新人呢。冷门的内容貌似不太吸引人，这片子票房得看口碑了。	4.0	0.9999981812149421
马达君	看了预告真的是一言难尽，不由得想到刘慈欣的“山在那，总会有人去登的”，全人类（全宇宙？）的探索精神碰上京式定位宣传......不可说不可说....	4.0	0.9999981126760529
